record_id,creation_date,theft_start_date,theft_start_hour,theft_end_date,theft_end_hour,lor_area_code,sub_district_name,sub_district_lat,sub_district_long,value_euro,theft_attempt,bike_type,theft_category,detection_reason
63,05/01/2021,05/01/2021,13,05/01/2021,17,1200626,Moabit,52.5216560,13.4141550,570,NO,BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
64,05/01/2021,03/01/2021,12,05/01/2021,17,4300619,Charlottenburg Zentrum,52.5157470,13.3096834,5684,NO,OTHER BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
65,05/01/2021,02/01/2021,15,04/01/2021,10,3701658,Südlicher Prenzlauer Berg,52.5398466,13.4285652,659,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
66,05/01/2021,04/01/2021,20,05/01/2021,11,2200211,Kreuzberg Süd,52.5049589,13.3905699,299,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
67,06/01/2021,03/01/2021,15,03/01/2021,15,3601451,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,450,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
68,06/01/2021,06/01/2021,8,06/01/2021,19,11501341,Lichtenberg Süd,52.5321606,13.5118927,380,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
69,06/01/2021,05/01/2021,12,06/01/2021,12,1100416,Zentrum,52.5301017,13.3425422,1800,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
70,06/01/2021,04/01/2021,14,05/01/2021,7,1400939,Wedding,52.5501230,13.3419700,320,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
71,06/01/2021,04/01/2021,20,06/01/2021,11,2100105,Kreuzberg Nord,52.5049589,13.3905699,949,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
72,06/01/2021,05/01/2021,20,06/01/2021,11,6400840,Zehlendorf Nord/Wannsee,52.4211482,13.1589374,850,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
73,06/01/2021,06/01/2021,15,06/01/2021,15,7601340,Marienfelde / Lichtenrade,52.3934559,13.4020397,500,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
74,06/01/2021,04/01/2021,15,06/01/2021,10,8100102,Neukölln,52.4811497,13.4353501,695,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
75,06/01/2021,05/01/2021,13,05/01/2021,15,7100206,Schöneberg Nord,52.4821570,13.3551901,700,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
76,06/01/2021,05/01/2021,9,06/01/2021,6,4300620,Charlottenburg Zentrum,52.5157470,13.3096834,1549,NO,RACING BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
77,06/01/2021,04/01/2021,17,06/01/2021,15,1200623,Moabit,52.5216560,13.4141550,679,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
78,06/01/2021,06/01/2021,11,06/01/2021,12,4300623,Charlottenburg Zentrum,52.5157470,13.3096834,2600,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
79,06/01/2021,05/01/2021,21,06/01/2021,8,9100101,Treptow-Köpenick,52.4178930,13.6001848,1074,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
80,06/01/2021,05/01/2021,8,05/01/2021,19,9200715,Treptow-Köpenick,52.4178930,13.6001848,100,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
81,06/01/2021,04/01/2021,11,04/01/2021,17,3601142,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,487,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
82,06/01/2021,05/01/2021,18,06/01/2021,6,3701660,Südlicher Prenzlauer Berg,52.5398466,13.4285652,800,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
83,06/01/2021,05/01/2021,20,06/01/2021,8,9100304,Treptow-Köpenick,52.4178930,13.6001848,1959,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
84,06/01/2021,05/01/2021,10,05/01/2021,12,5100209,Spandau Mitte / Nord,52.5357880,13.1977924,1500,NO,OTHER BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
85,06/01/2021,05/01/2021,20,06/01/2021,7,7100103,Schöneberg Nord,52.4821570,13.3551901,2399,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
86,06/01/2021,05/01/2021,19,05/01/2021,22,9200715,Treptow-Köpenick,52.4178930,13.6001848,100,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
87,06/01/2021,06/01/2021,16,06/01/2021,16,7100204,Schöneberg Nord,52.4821570,13.3551901,1144,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
88,06/01/2021,06/01/2021,17,06/01/2021,17,4300413,Charlottenburg Zentrum,52.5157470,13.3096834,424,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
89,06/01/2021,06/01/2021,17,06/01/2021,17,5100101,Spandau Mitte / Nord,52.5357880,13.1977924,400,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
90,06/01/2021,06/01/2021,14,06/01/2021,17,11400929,Lichtenberg Mitte,52.5321606,13.5118927,1760,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
91,06/01/2021,03/01/2021,16,06/01/2021,12,3701555,Südlicher Prenzlauer Berg,52.5398466,13.4285652,888,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
92,06/01/2021,05/01/2021,23,06/01/2021,8,1100308,Zentrum,52.5301017,13.3425422,849,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
93,06/01/2021,06/01/2021,15,06/01/2021,15,3601453,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,544,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
94,06/01/2021,05/01/2021,20,06/01/2021,7,7100103,Schöneberg Nord,52.4821570,13.3551901,2899,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
95,06/01/2021,06/01/2021,15,06/01/2021,18,5100101,Spandau Mitte / Nord,52.5357880,13.1977924,420,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
96,06/01/2021,06/01/2021,20,06/01/2021,20,2100106,Kreuzberg Nord,52.5049589,13.3905699,450,NO,BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
97,06/01/2021,06/01/2021,15,06/01/2021,17,4300624,Charlottenburg Zentrum,52.5157470,13.3096834,200,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
98,07/01/2021,06/01/2021,15,07/01/2021,9,4300624,Charlottenburg Zentrum,52.5157470,13.3096834,2909,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
99,07/01/2021,03/01/2021,16,04/01/2021,9,7100102,Schöneberg Nord,52.4821570,13.3551901,1400,NO,MEN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
100,07/01/2021,07/01/2021,10,07/01/2021,15,2300314,Kreuzberg Ost,52.5049589,13.3905699,300,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
101,07/01/2021,07/01/2021,12,07/01/2021,13,3601142,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,790,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
102,07/01/2021,04/01/2021,19,06/01/2021,16,2500830,Friedrichshain Ost,52.5122154,13.4502904,999,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
103,07/01/2021,06/01/2021,10,07/01/2021,19,5100103,Spandau Mitte / Nord,52.5357880,13.1977924,1599,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
104,07/01/2021,06/01/2021,21,06/01/2021,21,8100105,Neukölln,52.4811497,13.4353501,2537,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
105,07/01/2021,06/01/2021,18,07/01/2021,11,11400927,Lichtenberg Mitte,52.5321606,13.5118927,150,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
106,07/01/2021,06/01/2021,23,07/01/2021,7,3300412,Nördliches Weißensee,52.5546193,13.4630018,950,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
107,07/01/2021,03/01/2021,10,03/01/2021,17,10200630,Hellersdorf,52.5386124,13.6044407,50,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
108,07/01/2021,07/01/2021,12,07/01/2021,12,5200629,Wilhelmstadt / Staaken,52.5139207,13.1914518,169,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
109,07/01/2021,06/01/2021,20,07/01/2021,8,7100102,Schöneberg Nord,52.4821570,13.3551901,1752,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
110,07/01/2021,06/01/2021,16,07/01/2021,14,1401045,Wedding,52.5501230,13.3419700,699,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
111,07/01/2021,06/01/2021,17,07/01/2021,10,2400521,Friedrichshain West,52.5122154,13.4502904,572,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
112,07/01/2021,07/01/2021,8,07/01/2021,13,7501133,Mariendorf,52.4400800,13.3900277,699,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
113,07/01/2021,06/01/2021,11,07/01/2021,17,1100416,Zentrum,52.5301017,13.3425422,1599,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
114,07/01/2021,05/01/2021,6,07/01/2021,10,4300624,Charlottenburg Zentrum,52.5157470,13.3096834,200,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
115,07/01/2021,07/01/2021,8,07/01/2021,10,6100103,Steglitz,52.4572569,13.3222865,1299,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
116,07/01/2021,06/01/2021,14,07/01/2021,16,3601140,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,1000,NO,OTHER BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
117,07/01/2021,05/01/2021,11,05/01/2021,12,7100205,Schöneberg Nord,52.4821570,13.3551901,498,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
118,07/01/2021,06/01/2021,23,07/01/2021,6,8401241,Buckow Nord/Rudow,52.4146801,13.4986183,740,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
119,07/01/2021,05/01/2021,21,07/01/2021,21,2500830,Friedrichshain Ost,52.5122154,13.4502904,249,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
120,08/01/2021,07/01/2021,14,07/01/2021,19,4501041,Wilmersdorf Zentrum,52.4871152,13.3203298,1500,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
121,08/01/2021,06/01/2021,14,07/01/2021,8,3701554,Südlicher Prenzlauer Berg,52.5398466,13.4285652,1955,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
122,08/01/2021,04/01/2021,17,05/01/2021,10,6200312,Lankwitz,52.4336977,13.3454858,300,NO,LADIES BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
123,08/01/2021,06/01/2021,17,06/01/2021,19,3601142,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,290,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
124,08/01/2021,05/01/2021,12,08/01/2021,11,1300731,Gesund­­brunnen,52.5509201,13.3848460,340,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
125,08/01/2021,08/01/2021,12,08/01/2021,15,2200211,Kreuzberg Süd,52.5049589,13.3905699,1200,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
126,08/01/2021,03/01/2021,7,04/01/2021,13,10100311,Marzahn,52.5447922,13.5646048,518,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
127,08/01/2021,07/01/2021,19,07/01/2021,19,4501043,Wilmersdorf Zentrum,52.4871152,13.3203298,1000,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
128,08/01/2021,07/01/2021,19,08/01/2021,14,11400928,Lichtenberg Mitte,52.5321606,13.5118927,420,NO,MOUNTAIN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
129,08/01/2021,08/01/2021,16,08/01/2021,17,3300411,Nördliches Weißensee,52.5546193,13.4630018,3899,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
130,08/01/2021,07/01/2021,13,07/01/2021,18,1100309,Zentrum,52.5301017,13.3425422,1799,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
131,08/01/2021,08/01/2021,8,08/01/2021,16,3500935,Südliches Weißensee,52.5546193,13.4630018,250,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
132,08/01/2021,06/01/2021,19,08/01/2021,10,1200520,Moabit,52.5216560,13.4141550,914,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
133,08/01/2021,08/01/2021,11,08/01/2021,11,9200510,Treptow-Köpenick,52.4178930,13.6001848,600,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
134,08/01/2021,07/01/2021,21,08/01/2021,12,8100105,Neukölln,52.4811497,13.4353501,380,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
135,08/01/2021,07/01/2021,11,08/01/2021,1,3500935,Südliches Weißensee,52.5546193,13.4630018,2000,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
136,08/01/2021,06/01/2021,14,06/01/2021,22,5200629,Wilhelmstadt / Staaken,52.5139207,13.1914518,252,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
